"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/06/25 12:41:55 pm EEST","Uber","Margie;Pig n Paradise;Mushroom Cloud","Margie","","","11:50"
"2023/06/25 12:42:55 pm EEST","Mr Delivery","Champ","","","","11:45"
"2023/06/25 12:46:36 pm EEST","Window","Margie;Pig n Paradise","","","","11:46"
"2023/06/25 12:48:42 pm EEST","Window","Feisty Italian","","","","11:55"
"2023/06/25 12:50:03 pm EEST","Uber","Margie;Sausage Party","Margie","","","11:59"
"2023/06/25 1:15:17 pm EEST","Uber","Margie","","","","12:20"
"2023/06/25 1:19:10 pm EEST","Window","Champ;Mish-Mash;Feisty Italian","","","","12:22"
"2023/06/25 1:32:34 pm EEST","Uber","Mish-Mash","","","","12:28"
"2023/06/25 1:51:47 pm EEST","Window","Champ;Pig n Paradise","","","","13:05"
"2023/06/25 1:52:19 pm EEST","Uber","Pig n Paradise;Mushroom Cloud","","","","13:09"
"2023/06/25 2:41:19 pm EEST","Uber","Pig n Paradise","","","","01:50"
"2023/06/25 2:42:51 pm EEST","Uber","Mushroom Cloud","","","","01:53"
"2023/06/25 2:45:35 pm EEST","Window","Pig n Paradise","","","","13:00"
"2023/06/25 2:50:04 pm EEST","Window","Champ","","","","12:49"
"2023/06/25 3:12:00 pm EEST","Uber","Pig n Paradise","","","","02:20"
"2023/06/25 3:32:44 pm EEST","Uber","Pig n Paradise;Feisty Italian","","","","02:45"
"2023/06/25 4:01:51 pm EEST","Uber","Margie","","","","03:10"
"2023/06/25 4:03:02 pm EEST","Uber","Margie;Vegan Harvest","","","","03:15"
"2023/06/25 4:30:19 pm EEST","Uber","Champ;Pig n Paradise","","","","15:44"
"2023/06/25 5:11:23 pm EEST","Uber","Champ","","","","16:11"
"2023/06/25 5:52:23 pm EEST","Window","Pig n Paradise","Pig n Paradise","Pig n Paradise","","16:45"
"2023/06/25 5:52:54 pm EEST","Window","Pig n Paradise","Pig n Paradise","","","16:45"
"2023/06/25 6:02:57 pm EEST","Uber","Pig n Paradise","","","","17:10"
"2023/06/25 6:03:38 pm EEST","Mr Delivery","Mish-Mash","","","","17:07"
"2023/06/25 6:17:58 pm EEST","Window","Margie","Margie","","","17:25"
"2023/06/25 6:34:50 pm EEST","Window","Vegan Harvest;Mish-Mash","","","","17:40"
"2023/06/25 6:39:29 pm EEST","Window","Margie;Feisty Italian","","","","17:40"
"2023/06/25 6:41:19 pm EEST","Mr Delivery","","","","Poppa","17:55"
"2023/06/25 6:50:19 pm EEST","Window","Vegan Harvest;Mushroom Cloud","","","","17:59"
"2023/06/25 6:58:11 pm EEST","Mr Delivery","Pig n Paradise","","","Coke","18:15"
"2023/06/25 7:01:02 pm EEST","Mr Delivery","Champ","Champ","","Coke","18:20"
"2023/06/25 7:05:44 pm EEST","Uber","Pig n Paradise","","","","18:20"
"2023/06/25 7:12:58 pm EEST","Uber","Margie","","","","18:30"
"2023/06/25 7:20:24 pm EEST","Uber","Champ;Vegan Harvest","","","","18:42"
"2023/06/25 7:21:49 pm EEST","Window","Champ","Champ","","","18:36"
"2023/06/25 7:22:45 pm EEST","Uber","Champ;Mushroom Cloud","","","","18:40"
"2023/06/25 7:23:28 pm EEST","Uber","Pig n Paradise;Feisty Italian","","","","18:41"
"2023/06/25 7:26:22 pm EEST","Uber","Champ;Pig n Paradise","","","","18:46"
"2023/06/25 7:43:51 pm EEST","Uber","Margie;Feisty Italian","","","","19:00"
"2023/06/25 7:51:50 pm EEST","Uber","Margie","","","","19:05"
"2023/06/25 7:53:01 pm EEST","Uber","Margie","Margie","","Chilli oil","19:05"
"2023/06/25 8:06:18 pm EEST","Uber","Champ;Vegan Harvest;Sausage Party","","","","19:20"
"2023/06/25 8:07:06 pm EEST","Uber","Margie","","","","19:15"
"2023/06/25 8:15:11 pm EEST","Uber","Margie;Feisty Italian","","","","19:30"
"2023/06/25 8:28:27 pm EEST","Uber","Margie","","","","19:38"
"2023/06/25 8:33:09 pm EEST","Uber","Mish-Mash","","","","19:44"
"2023/06/25 8:42:09 pm EEST","Bolt","Margie;Champ","","","","19:50"
"2023/06/25 8:44:35 pm EEST","Uber","Mish-Mash","","","","19:53"
"2023/06/25 8:57:03 pm EEST","By","Champ","","","","20:05"
"2023/06/26 11:20:40 pm EEST","Uber","Margie","Margie","","","15"
"2023/06/26 11:20:54 pm EEST","Mr Delivery","Champ","","","","12"
"2023/06/26 11:21:11 pm EEST","Window","Vegan Harvest","","","","5"
"2023/06/26 11:29:02 pm EEST","Window","Mushroom Cloud","","","Olives","25"
"2023/06/26 11:29:13 pm EEST","Mr Delivery","","Pig n Paradise","","lll","20"
"2023/06/26 11:29:19 pm EEST","Mr Delivery","Margie","","","","10"
"2023/06/26 11:29:34 pm EEST","Bolt","Pig n Paradise","","","","13"
"2023/06/26 11:34:08 pm EEST","Uber","Pig n Paradise","","","lko","89"
"2023/06/26 11:53:33 pm EEST","Uber","Margie","","","","15"
"2023/06/26 11:53:47 pm EEST","Mr Delivery","Champ","","","","10"
